z_left,z_right,count,percent,delta_mu_level,sigma_level,chi_Mpc,zeta_rad
0.0,0.0025,2,0.1176470588235294,0.0,0.0,5.351241370903695,0.03534061870674092
0.0025,0.01,109,6.411764705882353,-0.23800304406954997,0.7313954795965079,26.712296944071657,0.07889285443114588
0.01,0.04,479,28.17647058823529,-0.24692980841449008,0.7325704378175514,106.19051515138983,0.1568156853444008
0.04,0.0957,150,8.823529411764707,-0.2594784268337423,0.7325813741131314,284.1198166950509,0.2548179174327663
0.0957,0.1787,141,8.294117647058824,-0.250688131713934,0.7325761069946934,561.2373893686008,0.3547362654240786
0.1787,0.3,326,19.176470588235293,-0.22744043850390538,0.7325022027825995,945.5173044636351,0.45499785104714874
0.3,0.468,264,15.529411764705884,-0.1971078000921177,0.7325209167806136,1443.4185680942655,0.5547626218530329
0.468,0.71,159,9.352941176470589,-0.2057616842351675,0.7326431698542678,2065.2030261013215,0.6545842940269846
0.71,1.06,51,3.0,-0.19315538255786607,0.733242268188207,2817.9679293857025,0.7548752303673703
1.06,1.588,15,0.8823529411764706,-0.0284849168083344,0.7364427120809794,3697.1173743310333,0.8553333737918655
1.588,2.0,4,0.2352941176470588,-0.2053163526188778,0.7505259125788786,4420.49966468984,0.9294738939847291
